spin_3_iron, velocity_3_iron, spin_4_iron, velocity_4_iron, spin_5_iron, velocity_5_iron, spin_6_iron, velocity_6_iron, spin_7_iron, velocity_7_iron, spin_8_iron, velocity_8_iron, spin_9_iron, velocity_9_iron, spin_PW_iron, velocity_PW_iron,spin_driver, velocity_driver, spin_3_wood, velocity_3_wood, spin_5_wood, velocity_5_wood
0,63,0,61,0,59,0,56,0,53,0,51,0,48,0,45,0,74,0,70,0,67
485,10.4,506,11,561,12.1,652,14.1,743,16.3,837,18.1,905,20.4,974,24.2,281,10.9,382,9.2,455,9.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
